species,Csize
Kogia_breviceps,4380.453694
Kogia_sima,2534.348929
Physeter_macrocephalus,17055.72232
Hyperoodon_ampullatus,9173.179666
Hyperoodon_planifrons,12439.26983
Mesoplodon_carlhubbsi,7981.233098
Mesoplodon_bidens,7308.065876
Mesoplodon_mirus,6878.818927
Mesoplodon_europaeus,7165.591349
Mesoplodon_ginkgodens,7152.842663
Mesoplodon_densirostris,6896.861737
Mesoplodon_grayi,7696.068527
Mesoplodon_perrini,5545.323739
Mesoplodon_peruvianus,5704.553624
Mesoplodon_stejnegeri,4473.017632
Mesoplodon_hectori,5024.214353
Ziphius_cavirostris,7846.640056
Tasmacetus_shepherdi,11090.04856
Berardius_arnuxii,13872.18283
Berardius_bairdii,13209.50851
Albireo_whistleri,4209.353027
Semirostrum_ceruttii,4289.742735
Neophocaena_phocaenoides,1551.945827
Phocoena_dioptrica,2474.671311
Phocoena_sinus,1817.837309
Phocoena_phocoena,2167.704105
Phocoenoides_dalli,2979.307751
Phocoena_spinipinnis,2516.662708
Delphinapterus_leucas,4975.627038
Monodon_monoceros,5446.791825
Delphinus_capensis,4853.96801
Delphinus_delphis,4254.487768
Stenella_clymene,3763.968655
Stenella_coeruleoalba,4286.851444
Stenella_frontalis,3613.374806
Tursiops_aduncus,4353.726862
Tursiops_truncatus,4273.651218
Lagenodelphis_hosei,4196.161373
Stenella_attenuata,4075.649747
Stenella_longirostris,3706.846638
Sousa_chinensis,3677.993948
Sotalia_fluviatilis,2524.089217
Sotalia_guianensis,3301.923906
Feresa_attenuata,3177.937922
Peponocephala_electra,4066.174441
Globicephala_macrorhynchus,5393.210743
Globicephala_melas,5412.977308
Grampus_griseus,4329.396065
Pseudorca_crassidens,5643.216206
Orcaella_brevirostris,2581.206316
Steno_bredanensis,4476.740187
Cephalorhynchus_commersoni,2496.994747
Cephalorhynchus_eutropia,3146.27051
Cephalorhynchus_hectori,2424.192051
Cephalorhynchus_heavisidii,2998.963721
Sagmatias_australis,3521.28459
Sagmatias_cruciger,3036.685319
Lagenorhynchus_obliquidens,3744.84366
Sagmatias_obscurus,3773.268479
Lissodelphis_borealis,4092.544998
Lissodelphis_peronii,4122.927371
Lagenorhynchus_albirostris,4342.827266
Leucopleurus_acutus,3932.495111
Orcinus_orca,9092.40933
Atocetus_iquensis,3064.881293
Lophocetus_calvertensis,5437.812673
Kentriodon_pernix,3583.945806
Kentriodon_fuchsii,2974.199534
Rudicetus_squalodontoides,4917.412487
Hadrodelphis_calvertense,7944.762047
Inia_geoffrensis,4715.852433
Pontoporia_blainvillii,3189.087967
Lipotes_vexillifer,4397.199969
Platanista_gangetica,5516.279623
Zarhinocetus_errabundus,7138.514253
Schizodelphis_planus,6441.252893
Xiphiacetus_bossi,6236.109172
Squalodon_sp_OU_21798,9179.375652
Waipatia_hectori,4913.894685
Agorophius_pygmaeus,9988.256969
Agorophiidae_indet_ChM_PV5852,7149.310056
Cotylocara_macei,4536.895934
Echovenator_sandersi,3829.554209
Xenorophidae_indet_ChM_PV2758,7121.031903
Coronodon_havensteini,8888.372387
Zygorhiza_kochii,7589.107662
Basilosaurus_isis,10863.00899
Dorudon_atrox,9429.071933
Cynthiacetus_peruvianus,10572.38001
Georgiacetus_vogtlensis,6329.154888
Aegyptocetus_tarfa,5770.8103
Ambulocetus_natans,7422.122661
Pakicetus_attocki,3652.578577
Berardius_minimus,9833.824881
Inia_geoffrensis_boliviensis,3968.096801
Inia_geoffrensis_geoffrensis,4288.695292
Platanista_gangetica_minor,2382.00163
Sousa_plumbea,4934.076473
Sousa_teuszii,4403.217104
Sousa_sahulensis,4133.77372
